;average_learning_complexity;average_strategy_complexity;average_user_rating;comment_count;discount;id;is_historical_low;listing_clicks;max_players;max_playtime;min_age;min_players;min_playtime;name;num_user_ratings;players;plays;playtime;price;price_au;price_ca;price_uk;visits;year_published;name_lower
76;0.0;0.0;0.0;0;0.00;Ijx3aIJSC0;True;0;6.0;120.0;8.0;2.0;120.0;Monopoly: Boston Celtics Collector's Edition;0;2-6;0;120;0.00;0.00;0.00;0.00;79;2006.0;monopoly: boston celtics collector's edition
77;0.0;0.0;0.0;0;0.00;cn6j3FeTR1;False;0;5.0;150.0;13.0;2.0;45.0;AuZtralia: Revenge of the Old Ones;0;2-5;0;45-150;0.00;0.00;22.95;0.00;78;2022.0;auztralia: revenge of the old ones
79;0.0;0.0;2.0;0;0.00;v22MeBJrl4;False;0;6.0;75.0;8.0;2.0;75.0;Monopoly City;5;2-6;8;75;107.45;0.00;0.00;0.00;77;2009.0;monopoly city
80;4.0;4.0;5.0;0;0.00;fJPUSyIHqT;False;0;4.0;180.0;14.0;1.0;120.0;Legends of Void;1;1-4;0;120-180;0.00;0.00;0.00;0.00;77;2021.0;legends of void
81;0.0;0.0;0.5;0;0.00;074t93iJ4c;False;0;;;;;;Monopoly: Despicable Me;1;;1;;52.01;0.00;0.00;0.00;74;;monopoly: despicable me
83;0.0;0.0;2.590791666666666;0;0.00;q7uULjCG2C;False;0;4.0;60.0;8.0;2.0;60.0;Advance to Boardwalk;12;2-4;7;60;0.00;0.00;29.95;0.00;71;1985.0;advance to boardwalk
84;0.0;0.0;3.0;0;0.00;pJKv48xxBb;False;0;4.0;60.0;8.0;2.0;30.0;Monopoly: Ultimate Banking;1;2-4;0;30-60;24.99;59.95;0.00;26.23;70;2016.0;monopoly: ultimate banking
85;0.0;0.0;2.6;0;0.00;VBx5EjWVjq;False;0;8.0;120.0;8.0;2.0;120.0;Monopoly: Star Wars Episode I;5;2-8;3;120;0.00;0.00;0.00;0.00;70;1999.0;monopoly: star wars episode i
86;0.0;0.0;0.0;0;0.00;n8sbURFED7;False;0;6.0;45.0;10.0;3.0;30.0;For Sale: Advisors;0;3-6;0;30-45;0.00;0.00;8.95;0.00;70;2021.0;for sale: advisors
88;0.0;0.0;0.0;0;0.00;oeY0jlIyAM;False;0;6.0;180.0;6.0;2.0;120.0;Monopoly: Ren and Stimpy;0;2-6;0;120-180;0.00;0.00;0.00;0.00;68;;monopoly: ren and stimpy
89;0.0;0.0;2.0;0;0.00;JEEvX7oaBn;False;0;6.0;180.0;8.0;2.0;180.0;Monopoly: Nostalgia Wooden Box;1;2-6;4;180;29.99;0.00;0.00;0.00;68;2001.0;monopoly: nostalgia wooden box
90;0.0;0.0;4.0;0;0.14;0AZWmDLPOH;False;0;6.0;90.0;8.0;2.0;90.0;Monopoly: The Nightmare Before Christmas;1;2-6;0;90;34.50;42.95;0.00;28.99;68;2009.0;monopoly: the nightmare before christmas
